file,layer_name,type,priority,x,y,width,height,z_index,canvas_width,canvas_height,kv_canvas_width,kv_canvas_height,kv_x,kv_y,kv_width,kv_height,kv_z_index,is_in_kv
Bubly_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1706,1706,0,1706,1706,1706.0,1706.0,0.0,0.0,1706.0,1706.0,0.0,1
Bubly_KV.psd,SUB HEADING,TEXT,2,381,1341,910,146,1,1706,1706,1706.0,1706.0,381.0,1341.0,910.0,146.0,1.0,1
Bubly_KV.psd,COPY,TEXT,2,172,219,1361,162,2,1706,1706,1706.0,1706.0,172.0,219.0,1361.0,162.0,2.0,1
Bubly_KV.psd,SKUs,PRODUCT,2,232,523,1273,570,3,1706,1706,1706.0,1706.0,232.0,523.0,1273.0,570.0,3.0,1
FoodService_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1298,1080,0,1298,1080,1298.0,1080.0,0.0,0.0,1298.0,1080.0,0.0,1
FoodService_KV.psd,SKUs,PRODUCT,2,804,275,267,701,1,1298,1080,1298.0,1080.0,804.0,275.0,267.0,701.0,1.0,1
FoodService_KV.psd,SKUs,PRODUCT,2,229,393,268,700,2,1298,1080,1298.0,1080.0,229.0,393.0,268.0,700.0,2.0,1
FoodService_KV.psd,SKUs,PRODUCT,2,498,333,272,700,3,1298,1080,1298.0,1080.0,498.0,333.0,272.0,700.0,3.0,1
FoodService_KV.psd,LOGO,LOGO,0,93,934,83,108,4,1298,1080,1298.0,1080.0,93.0,934.0,83.0,108.0,4.0,1
FoodService_KV.psd,LEGAL,LEGAL,3,23,1057,223,9,5,1298,1080,1298.0,1080.0,23.0,1057.0,223.0,9.0,5.0,1
FoodService_KV.psd,COPY,TEXT,2,398,48,506,164,6,1298,1080,1298.0,1080.0,398.0,48.0,506.0,164.0,6.0,1
FoodService_KV.psd,SUB HEADING,TEXT,2,420,224,461,55,7,1298,1080,1298.0,1080.0,420.0,224.0,461.0,55.0,7.0,1
FoodService_KV.psd,CTA,CTA,3,989,964,277,83,8,1298,1080,1298.0,1080.0,989.0,964.0,277.0,83.0,8.0,1
Gatorade_HBTW_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
Gatorade_HBTW_KV.psd,SKUs,PRODUCT,2,287,238,1330,842,1,1920,1080,1920.0,1080.0,287.0,238.0,1330.0,842.0,1.0,1
Gatorade_HBTW_KV.psd,LOGO,LOGO,0,19,535,10,367,2,1920,1080,1920.0,1080.0,19.0,535.0,10.0,367.0,2.0,1
Gatorade_HBTW_KV.psd,COPY,TEXT,2,51,55,1818,126,3,1920,1080,1920.0,1080.0,51.0,55.0,1818.0,126.0,3.0,1
Gatorade_HBTW_KV.psd,LOGO,LOGO,0,1781,929,104,113,4,1920,1080,1920.0,1080.0,1781.0,929.0,104.0,113.0,4.0,1
Gatorade_KHKG_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,811,1411,0,811,1411,811.0,1411.0,0.0,0.0,811.0,1411.0,0.0,1
Gatorade_KHKG_KV.psd,LOGO,LOGO,0,517,106,240,278,1,811,1411,811.0,1411.0,517.0,106.0,240.0,278.0,1.0,1
Gatorade_KHKG_KV.psd,SKUs,PRODUCT,2,29,430,747,619,2,811,1411,811.0,1411.0,29.0,430.0,747.0,619.0,2.0,1
Gatorade_KHKG_KV.psd,SUB HEADING,TEXT,2,51,397,295,17,3,811,1411,811.0,1411.0,51.0,397.0,295.0,17.0,3.0,1
Gatorade_KHKG_KV.psd,COPY,TEXT,2,49,100,443,276,4,811,1411,811.0,1411.0,49.0,100.0,443.0,276.0,4.0,1
Gatorade_KHKG_KV.psd,LEGAL,LEGAL,3,67,1360,678,16,5,811,1411,811.0,1411.0,67.0,1360.0,678.0,16.0,5.0,1
Gatorade_KHKG_KV.psd,CTA,CTA,3,63,1036,687,303,6,811,1411,811.0,1411.0,63.0,1036.0,687.0,303.0,6.0,1
Gatorade_Mashups_KV.psd,BACKGROUND,BACKGROUND,-1,0,-7,1920,1094,0,1920,1080,1920.0,1080.0,0.0,-7.0,1920.0,1094.0,0.0,1
Gatorade_Mashups_KV.psd,CTA,CTA,3,79,640,744,181,1,1920,1080,1920.0,1080.0,79.0,640.0,744.0,181.0,1.0,1
Gatorade_Mashups_KV.psd,LEGAL,LEGAL,3,85,902,647,120,2,1920,1080,1920.0,1080.0,85.0,902.0,647.0,120.0,2.0,1
